Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	template	data.set	environm	orig.sound.file	Temperatura	Humedad	Distancia (m)	Vegetacion	Transecto	org.sf	new.file.name	new.selec	old.sound.file.name	old.selec
0.04	0.24002267573696	dist.1-2.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-2.wav	0.04	1	Spectrogram 1	1	7875	8805	0.2_BB_am_no.harm.wav_1	simulations	NA	0.2_BB_am_no.harm.wav_1	22.8	0.31	1	abierta	1	200303-000	dist.1	2	200303-000.wav_2	1
0.320022675736961	0.520045351473922	dist.1-3.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-3.wav	0.04	2	Spectrogram 1	1	3208	4069	0.2_BB_am_no.harm.wav_2	simulations	NA	0.2_BB_am_no.harm.wav_2	22.8	0.31	1	abierta	1	200303-000	dist.1	3	200303-000.wav_3	1
0.600045351473923	0.800068027210883	dist.1-4.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-4.wav	0.04	3	Spectrogram 1	1	422	1223	0.2_BB_am_no.harm.wav_3	simulations	NA	0.2_BB_am_no.harm.wav_3	22.8	0.31	1	abierta	1	200303-000	dist.1	4	200303-000.wav_4	1
0.880068027210884	1.08009070294784	dist.1-5.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-5.wav	0.04	4	Spectrogram 1	1	6905	7917	0.2_BB_am_no.harm.wav_4	simulations	NA	0.2_BB_am_no.harm.wav_4	22.8	0.31	1	abierta	1	200303-000	dist.1	5	200303-000.wav_5	1
1.16009070294785	1.36011337868481	dist.1-6.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-6.wav	0.04	5	Spectrogram 1	1	8417	9416	0.2_BB_am_no.harm.wav_5	simulations	NA	0.2_BB_am_no.harm.wav_5	22.8	0.31	1	abierta	1	200303-000	dist.1	6	200303-000.wav_6	1
1.44011337868481	1.64013605442177	dist.1-7.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-7.wav	0.04	6	Spectrogram 1	1	4171	4839	0.2_BB_am_no.harm.wav_6	simulations	NA	0.2_BB_am_no.harm.wav_6	22.8	0.31	1	abierta	1	200303-000	dist.1	7	200303-000.wav_7	1
1.72013605442177	1.92015873015873	dist.1-8.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-8.wav	0.04	7	Spectrogram 1	1	2097	2961	0.2_BB_am_no.harm.wav_7	simulations	NA	0.2_BB_am_no.harm.wav_7	22.8	0.31	1	abierta	1	200303-000	dist.1	8	200303-000.wav_8	1
2.00015873015873	2.20018140589569	dist.1-9.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-9.wav	0.04	8	Spectrogram 1	1	9181	10033	0.2_BB_am_no.harm.wav_8	simulations	NA	0.2_BB_am_no.harm.wav_8	22.8	0.31	1	abierta	1	200303-000	dist.1	9	200303-000.wav_9	1
2.28018140589569	2.48020408163265	dist.1-10.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-10.wav	0.04	9	Spectrogram 1	1	1849	2506	0.2_BB_am_no.harm.wav_9	simulations	NA	0.2_BB_am_no.harm.wav_9	22.8	0.31	1	abierta	1	200303-000	dist.1	10	200303-000.wav_10	1
2.56020408163265	2.76022675736961	dist.1-11.wav	/home/neuro/Dropbox/estudiantes/Marcos Quiroz/sigpro_measuring/1st_transect_recordings/precise_cuts/dist.1-11.wav	0.04	10	Spectrogram 1	1	5632	6830	0.2_BB_am_no.harm.wav_10	simulations	NA	0.2_BB_am_no.harm.wav_10	22.8	0.31	1	abierta	1	200303-000	dist.1	11	200303-000.wav_11	1
